,LO1,LA1,EL1,LO1,LA1,EL1,VISIBLE
78,84.1,27.7,341.5350037,83.5,28.7,7631.313477,6046.663897
79,83.8,27.5,119.1980209,83.5,28.7,7631.313477,6045.147402
80,83,28,926.5101318,83.5,28.7,7631.313477,6040.660758
81,83.4,27.9,961.645874,83.5,28.7,7631.313477,6040.373173
82,83.2,28,1050.328491,83.5,28.7,7631.313477,6037.228211
83,82.7,27.8,332.2658691,83.5,28.7,7631.313477,6029.701459
84,84.1,27.6,155.2443237,83.5,28.7,7631.313477,6028.698156
85,87.2,27.4,1068.594971,87.1,27.9,7346.435547,6027.350324
86,87.3,27.2,813.3201904,87.1,27.9,7346.435547,6026.552683
87,87,26.8,142.0918579,87.1,27.9,7346.435547,6021.228623
88,87.3,27.3,945.8250732,87.1,27.9,7346.435547,6020.364598
89,83.7,28.3,1425.641479,83.5,28.7,7631.313477,6020.216802
90,83.9,28.3,1335.825439,83.5,28.7,7631.313477,6019.995768
91,83.8,27.7,575.222229,83.5,28.7,7631.313477,6016.68995
92,86.9,26.8,124.8666687,87.1,27.9,7346.435547,6015.463727
93,83.1,27.5,100.917038,83.5,28.7,7631.313477,6010.517095
94,83.9,27.8,721.0803833,83.5,28.7,7631.313477,6002.708268
95,82.7,27.7,181.9300079,83.5,28.7,7631.313477,5995.013627
96,82.8,28,796.1502075,83.5,28.7,7631.313477,5990.443798
97,84.3,27.7,187.2211609,83.5,28.7,7631.313477,5989.722475
98,83,28.2,1213.343384,83.5,28.7,7631.313477,5987.338413
99,87.1,27.4,1121.033447,87.1,27.9,7346.435547,5982.53426
100,83.1,28.2,1290.907227,83.5,28.7,7631.313477,5977.365373
101,87.2,26.8,187.6366272,87.1,27.9,7346.435547,5975.683853
102,82.8,27.6,114.8154678,83.5,28.7,7631.313477,5970.954111
103,82.9,28.2,1152.128052,83.5,28.7,7631.313477,5965.943183
104,86.8,27,530.0169067,87.1,27.9,7346.435547,5960.689875
105,87.2,27.2,903.22229,87.1,27.9,7346.435547,5959.559034
106,84.3,27.8,413.9797974,83.5,28.7,7631.313477,5947.987531
107,82.6,27.8,286.5148926,83.5,28.7,7631.313477,5947.309499
108,83.7,27.9,1034.241577,83.5,28.7,7631.313477,5945.184051
109,82.8,28.1,968.9815063,83.5,28.7,7631.313477,5944.250193
110,83,27.5,99.51851654,83.5,28.7,7631.313477,5943.887091
111,86.8,26.8,158.565567,87.1,27.9,7346.435547,5943.448099
112,82.7,28.2,967.0731201,83.5,28.7,7631.313477,5940.718766
113,83.1,28,1100.711426,83.5,28.7,7631.313477,5934.176363
114,84.2,27.6,154.4753723,83.5,28.7,7631.313477,5931.294206
115,83.3,27.9,1055.529053,83.5,28.7,7631.313477,5923.896575
116,84.4,28,636.2620239,83.5,28.7,7631.313477,5909.566226
117,83.5,28.3,1572.133423,83.5,28.7,7631.313477,5903.737339
118,83.6,27.8,937.4940796,83.5,28.7,7631.313477,5899.365543
119,83.9,27.7,646.4708862,83.5,28.7,7631.313477,5892.626471
120,87.7,27.3,830.1617432,87.1,27.9,7346.435547,5891.892849
121,83.5,27.4,98.57225037,83.5,28.7,7631.313477,5890.941321
122,86.7,27.3,988.3550415,87.1,27.9,7346.435547,5886.28351
123,83.4,27.4,97.11810303,83.5,28.7,7631.313477,5884.82981
124,83.6,27.4,100.7955551,83.5,28.7,7631.313477,5881.152358
125,83.7,27.7,751.5368652,83.5,28.7,7631.313477,5878.100302
126,87,26.9,490.4918518,87.1,27.9,7346.435547,5876.834232
127,84.2,27.9,764.7849121,83.5,28.7,7631.313477,5875.743561
128,83.4,28.1,1402.239136,83.5,28.7,7631.313477,5871.812826
129,86.7,26.8,179.9122314,87.1,27.9,7346.435547,5868.458176
130,83.3,27.4,94.5614624,83.5,28.7,7631.313477,5864.6895
131,82.9,27.5,97.21530914,83.5,28.7,7631.313477,5863.044745
132,83.7,27.4,101.7754669,83.5,28.7,7631.313477,5857.475495
133,83.1,27.8,868.4354858,83.5,28.7,7631.313477,5855.353166
134,84.4,27.7,193.4969025,83.5,28.7,7631.313477,5855.186073
135,87.1,26.7,97.88515472,87.1,27.9,7346.435547,5849.673895
136,87,26.7,91.43644714,87.1,27.9,7346.435547,5848.452489
137,82.7,27.6,124.2096024,83.5,28.7,7631.313477,5848.284357
138,86.3,27,221.9893341,87.1,27.9,7346.435547,5847.985576
139,82.6,27.7,201.4048462,83.5,28.7,7631.313477,5847.278129
140,82.9,27.8,729.0717163,83.5,28.7,7631.313477,5843.956979
141,84.5,28.1,685.9881592,83.5,28.7,7631.313477,5843.881644
142,86.4,27,346.4159851,87.1,27.9,7346.435547,5838.302816
143,82.4,27.9,261.3726196,83.5,28.7,7631.313477,5836.93651
144,87.2,26.7,105.9221954,87.1,27.9,7346.435547,5833.966741
145,83,27.9,988.477356,83.5,28.7,7631.313477,5832.795303
146,83.6,27.7,822.0195923,83.5,28.7,7631.313477,5830.252613
147,83.8,28.3,1579.899292,83.5,28.7,7631.313477,5828.443475
148,83.4,28,1322.16687,83.5,28.7,7631.313477,5825.583105
149,87.4,27.3,1102.964111,87.1,27.9,7346.435547,5825.079192
150,87.2,27.3,287.8613892,86.7,28.1,6924.729492,5824.808698
151,83.2,27.4,96.67977905,83.5,28.7,7631.313477,5824.743009
152,83.8,27.4,106.2890854,83.5,28.7,7631.313477,5815.133703
153,84,27.5,229.0814819,83.5,28.7,7631.313477,5814.324126
154,82.5,27.8,276.5481567,83.5,28.7,7631.313477,5814.058966
155,83.5,28.1,1470.741821,83.5,28.7,7631.313477,5810.827323
156,86.7,27,627.298645,87.1,27.9,7346.435547,5809.859791
157,83.7,28.1,1444.056152,83.5,28.7,7631.313477,5807.444286
158,87.6,27.1,730.4605713,87.1,27.9,7346.435547,5803.165735
159,84.3,27.6,174.5463104,83.5,28.7,7631.313477,5797.947649
160,87.3,26.8,343.0588379,87.1,27.9,7346.435547,5797.271558
161,83.4,27.8,1044.926758,83.5,28.7,7631.313477,5791.932865
162,87.2,27.5,805.8582764,86.9,28,6908.385742,5791.205046
163,84.2,27.8,689.4973145,83.5,28.7,7631.313477,5785.53823
164,83.5,27.9,1226.11377,83.5,28.7,7631.313477,5783.436425
165,87.3,26.7,135.1722717,87.1,27.9,7346.435547,5781.706346
166,83.2,28.4,1695.490356,83.5,28.7,7631.313477,5780.922006
167,83.5,28,1374.747192,83.5,28.7,7631.313477,5780.526959
168,83.1,27.4,88.447052,83.5,28.7,7631.313477,5780.016453
169,84.5,28,625.3669434,83.5,28.7,7631.313477,5777.508489
170,83.4,28.2,1610.206055,83.5,28.7,7631.313477,5770.71857
171,83.5,27.8,1074.286865,83.5,28.7,7631.313477,5770.110853
172,82.8,27.5,97.44000244,83.5,28.7,7631.313477,5764.557724
173,87.5,27,677.333313,87.1,27.9,7346.435547,5759.825123
174,83.9,27.4,110.7576065,83.5,28.7,7631.313477,5757.705899
175,82.5,28,646.4666748,83.5,28.7,7631.313477,5756.408758
176,86.9,26.7,164.9820404,87.1,27.9,7346.435547,5751.896577
177,87.1,27.5,1440.676514,87.1,27.9,7346.435547,5750.323261
178,82.9,28,1142.778076,83.5,28.7,7631.313477,5741.628136
